,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"224 - Pork roast, NS as to cut, cooked, lean only eaten",0.6690336128500741,0.2613624106381242,0.0176264423352442,0.25470957423440554,0.0,0.0,0.0,0.63940107350184,0.0,0.260370064041009,0.0,0.0,0.0,0.0,0.0
"226 - Pork bacon, NS as to fresh, smoked or cured, cooked",0.1115884822728499,1.3041398806151334,0.0,0.5566204437935823,0.22860939224279206,0.4526856696249332,0.7919634300863284,1.0260882538737666,0.0,0.3668992122107118,0.0,0.0,0.8619946123608774,0.0,0.7142910759178854
"227 - Pork, spareribs, cooked, lean only eaten",0.0,0.534009321442765,0.11529502696604828,0.738231243347692,0.41668360030902585,0.0,0.9858448107071525,0.6402126831519118,0.5155624373330722,0.06545434077560139,0.21418061196558413,0.0,0.20564821740479983,0.0,0.0
"231 - Lamb chop, NS as to cut, cooked, lean only eaten",0.2758676494139131,0.0,0.0,0.15466410879475137,0.5228800174377196,0.22563206054319113,0.0,0.1196024572576641,0.0,0.0,0.0,0.0,0.0,0.38756639233158413,0.0
"233 - Venison/deer steak, cooked, NS as to cooking method",0.14393214341457874,0.005625966100112143,0.0,0.10698111036710055,0.03370507217856328,0.0,0.28573056395782365,0.1699066243738611,0.0,0.07330922875723779,0.0,0.03880767720064185,0.08726514366697435,0.017827099830339494,0.0
"241 - Chicken, breast, roasted, broiled, or baked, skin not eaten",3.3623865178806094,0.8121172263215778,5.433971255744483,0.38667098097258956,0.20672316438695776,0.5137819173810563,1.4533276411838734,3.519116566142646,1.8751613778822505,0.0,0.0,0.0,2.562129171087557,0.007299939842999611,0.0
"242 - Turkey, NFS",1.910827656541751,0.0,0.7494104687262672,0.2837831305595076,0.24584839618631643,0.05173046461765864,0.0,1.4806547438043118,0.32725983983834994,0.0,0.0,0.33255620843913203,0.0,0.0,0.20969856250698385
"251 - Beef liver, fried",0.0,0.0,0.16101508981970106,0.23904598754974096,0.15550910953775537,0.0,0.18823151055549564,0.0,0.034463955768942886,0.04165749404450928,0.1618150119743094,0.0,0.0,0.1311097557106451,0.04449868177462161
"252 - Ham, sliced, prepackaged or deli, luncheon meat",0.27497635965906647,8.483024588623806,1.5490085171993817,2.064663031486259,0.42817158803413985,1.6239944103924733,0.0,0.41917814358968947,0.9374226583215044,0.012981509724212107,0.0,0.1233177643587213,0.0,0.0,0.10160922634138415
"261 - Salmon, baked or broiled",6.30482541560917,0.0,2.20961507945249,0.0,0.7051109430828387,0.0,0.0,1.044594416736018,0.6774945900685464,0.0,0.0,0.020054442603118904,0.0,0.7099526341596044,0.335658090584221
