seqn,factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14
51756,0.11848366155472984,0.5795260970322225,0.050652021916038265,0.01570300188549911,0.3713521107653763,0.4408468636432976,0.0,0.21912633647109953,0.7417515577586234,0.032595342892423024,0.0,0.0,0.02278919885356065,0.0,0.0
51757,0.28318907871087634,0.29060040342348886,0.0,0.7501098206657039,0.0,0.007153540413672339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51759,0.0,0.4339007586491324,0.32737867188065156,0.034857105743844256,0.3898615309249759,0.0513823629424911,0.8054231069291796,0.014767018222110663,0.5627409427917096,0.922507835036452,0.0,0.0,0.18721571034042309,0.91552189476017,0.0
51760,0.03831219339310494,0.4652068601199679,0.0,0.0,0.5721675534219831,0.5113034135779639,0.1679016770099142,0.0,0.0,0.0,0.0040965639260626815,0.0,0.0,0.022305794950338565,0.022210465113784824
51762,0.17014005333665674,0.0,0.0,0.01730387037951106,0.5378037176645724,0.3186662367272772,0.0,0.01103626632472398,0.05851722976912457,0.8744396379321294,0.0,0.0,0.8559537271327883,0.0,0.140077590253274
51764,0.18772095682496007,0.4116613422668734,0.35209640573834716,0.0,0.004912216445689467,0.005782874450438037,0.0,0.0,0.011150958678643944,0.0,0.017548829318245997,0.012501972209865243,0.6754184318053675,0.0,0.033943041648685654
51768,0.28593976773428353,0.37381990725691927,0.4275317752199744,0.0,0.0,0.013114871298174489,0.039680638754718625,0.0018703895271538703,0.0,0.0,0.0,0.010024396173691693,0.03063964870880468,0.0,0.011740252237241424
51770,0.30459401705583283,0.4272758738183532,0.3563610199925131,0.03087296695855212,0.0,0.022546958865391747,0.01559664675110967,0.07834509960269673,0.0,0.0,0.017637839540196168,0.0,0.10487585344621257,0.0,0.0
51774,0.0,0.27420700649029817,0.0,0.0,0.5590272345187003,0.5028512773965036,0.0,0.5528718030102805,0.0,0.0,0.0,0.0,0.7636893220963549,0.0,0.013167809162633807
51776,0.0222627909678076,0.37628947612046393,0.48846841524365475,0.5538283568014357,0.5102692545048084,0.4339688447744993,0.24558821491599597,0.0,0.013389128526322387,0.05055578477474208,0.0142672022948787,0.0,0.0,0.9042633187491278,0.034221265680469536
51777,0.004130204772904806,0.46521006473254556,0.4247491840358336,0.03181346631929529,0.0,0.4310169328477278,0.0,0.0025708633135189847,0.0,0.0,0.0,0.0,0.031044910229920075,0.038263122327561114,0.0
51778,0.40069861178646227,0.2896162849722299,0.03920833747579509,0.0,0.024673885393536512,0.0,0.4902180166240125,0.0,0.011209197956737627,0.06351197042695822,0.054427623701182246,0.013001041147202772,0.3354512408241064,0.0438663574367257,0.0
51779,0.24884893316775794,0.2229531624792022,0.3092090215896885,0.0,0.5103341336400319,0.0,0.5393017984992526,0.5651044154835517,0.0,0.0,0.005992371669997542,0.016518547952253805,0.0,0.06034762973916949,0.12106129014777135
51780,0.3941307904905708,0.5351307743067482,0.0062624221724958806,0.0,0.33488618267208664,0.0,0.013042667078866615,0.0,0.0,0.0,0.0,0.005850428630908371,0.018279327382720673,0.0,0.0283434835638492
51781,0.1744022047547837,0.4009593891633485,0.019396581385944692,0.0,0.0,0.0,0.17263928041580867,0.2394140730939551,0.03399942402707212,0.013529691520346453,0.0,0.024824733092031048,0.03665098770354321,0.0,0.020175897773172465
51782,0.0,0.29755118392973545,0.11127254581425408,0.0,0.009603515694934105,0.4613286918055027,0.0,0.0,0.028219524023938874,0.0,0.004493225970788146,0.0,0.2853693755711118,0.012002911883496501,0.523372730049895
